caracteristica,mutualInformation,importanciaExtraTrees,rankMi,rankBosque,scoreCombinado
groupConteo,0.0,2.187196143141142e-05,313.0,283.0,-596.0
headerSubsystem_image_subsystem_efi_boot_service_driver,0.0,2.1112304908008768e-05,313.0,284.0,-597.0
headerDllChar_no_bind,0.0,2.091074018505543e-05,313.0,285.0,-598.0
exploit_cve_2017_0147,0.0,1.5287169690003515e-05,313.0,286.0,-599.0
packer_mystic,0.0,9.835248170240066e-06,313.0,288.0,-601.0
sectionNombre_bak,0.0,7.512698003313875e-06,313.0,292.0,-605.0
group_turla,0.0,6.95853388698685e-06,313.0,293.0,-606.0
headerSubsystem_image_subsystem_posix_cui,0.0,6.574351797864472e-06,313.0,295.0,-608.0
sectionEntry_bss,0.0,5.214030703767541e-06,313.0,298.0,-611.0
fileProperty_js,0.0,4.572373541307646e-06,313.0,300.0,-613.0
group_equationgroup,0.0,3.4632956085168304e-06,313.0,302.0,-615.0
exploit_cve_2015_2387,5.19354228842861e-05,0.0,287.0,334.5,-621.5
packer_armadillo,0.0,1.7652782366424962e-06,313.0,309.0,-622.0
sectionEntry_pdata,0.0,1.5779133005090659e-06,313.0,313.0,-626.0
packer_mpress,0.0,1.5053796630462963e-06,313.0,315.0,-628.0
sectionEntry_edata,0.0,7.678155185682448e-07,313.0,317.0,-630.0
group_gamaredon,0.0,6.183425980037578e-07,313.0,319.0,-632.0
packer_nspm,0.0,4.3270461481246846e-07,313.0,321.0,-634.0
packer_aspack,0.0,2.2262465774419086e-07,313.0,322.0,-635.0
headerSubsystem_image_subsystem_xbox,0.0,2.148879387628929e-07,313.0,323.0,-636.0
headerMachine_image_file_machine_mipsfpu,0.0,2.0676171061528223e-07,313.0,324.0,-637.0
sectionEntry_tls,0.0,1.333166468193375e-07,313.0,328.0,-641.0
fileProperty_vbs,0.0,9.158146577745536e-08,313.0,329.0,-642.0
behavior_selfmod,0.0,5.129922365784856e-08,313.0,331.0,-644.0
fileProperty_script,0.0,4.1891854499832065e-09,313.0,332.0,-645.0
sectionEntry_crt,0.0,0.0,313.0,334.5,-647.5
